OMNIKNIGHT, PUDGE, SPECTRE, LEGION COMMANDER, DISRUPTOR, MEDUSA, ABADDON, WRAITH KING, PUGNA, NECROPHOS
NATURES PROPHET, ANTI-MAGE, CLOCKWERK, WINDRANGER, TINKER, SHADOW SHAMAN, SPIRIT BREAKER, LESHRAC, STORM SPIRIT, PHANTOM ASSASSIN
LUNA, VIPER, BEASTMASTER, OGRE MAGI, PUDGE, ANTI-MAGE, TINKER, VENGEFUL SPIRIT, NECROPHOS, RIKI
MEEPO, WRAITH KING, SHADOW SHAMAN, NYX ASSASSIN, VISAGE, ANTI-MAGE, SPIRIT BREAKER, SHADOW FIEND, CRYSTAL MAIDEN, NATURES PROPHET
LUNA, JUGGERNAUT, TINKER, RUBICK, SHADOW FIEND, DAZZLE, SNIPER, SILENCER, SVEN, TINY
SAND KING, SNIPER, KEEPER OF THE LIGHT, WEAVER, SHADOW FIEND, PUDGE, TIDEHUNTER, BLOODSEEKER, STORM SPIRIT, JUGGERNAUT
LIFESTEALER, SHADOW DEMON, DROW RANGER, SLARDAR, INVOKER, RIKI, URSA, SHADOW FIEND, BLOODSEEKER, LUNA
QUEEN OF PAIN, CHAOS KNIGHT, LION, RAZOR, AXE, SVEN, MEDUSA, TREANT PROTECTOR, EARTHSHAKER, MIRANA
PUDGE, JUGGERNAUT, WEAVER, SHADOW FIEND, OUTWORLD DEVOURER, LEGION COMMANDER, MAGNUS, INVOKER, PHANTOM ASSASSIN, ENIGMA
PUDGE, OGRE MAGI, TREANT PROTECTOR, INVOKER, TEMPLAR ASSASSIN, LION, LEGION COMMANDER, NYX ASSASSIN, SAND KING, SNIPER
TINY, INVOKER, KEEPER OF THE LIGHT, LUNA, EARTH SPIRIT, PUGNA, SHADOW DEMON, GYROCOPTER, SLARDAR, PUDGE
MIRANA, PUDGE, JUGGERNAUT, ENIGMA, EMBER SPIRIT, OMNIKNIGHT, SHADOW FIEND, DROW RANGER, TEMPLAR ASSASSIN, RUBICK
ARC WARDEN, TECHIES, OUTWORLD DEVOURER, JUGGERNAUT, PUGNA, MIRANA, LIFESTEALER, PHANTOM ASSASSIN, TREANT PROTECTOR, FACELESS VOID
SKYWRATH MAGE, SHADOW FIEND, SLARK, OMNIKNIGHT, TIMBERSAW, CENTAUR WARRUNNER, TECHIES, SLARDAR, PHANTOM ASSASSIN, DROW RANGER
QUEEN OF PAIN, LICH, SPIRIT BREAKER, TROLL WARLORD, SNIPER, PUDGE, JUGGERNAUT, LEGION COMMANDER, INVOKER, TIMBERSAW
DRAGON KNIGHT, SAND KING, CRYSTAL MAIDEN, STORM SPIRIT, ANTI-MAGE, ABADDON, PHANTOM ASSASSIN, MEEPO, SHADOW FIEND, OGRE MAGI
SPIRIT BREAKER, VENOMANCER, DROW RANGER, LINA, PUDGE, MORPHLING, MIRANA, PUCK, DARK SEER, SVEN
BRISTLEBACK, LESHRAC, FACELESS VOID, NATURES PROPHET, RUBICK, HUSKAR, LUNA, URSA, CRYSTAL MAIDEN, EARTHSHAKER
LONE DRUID, INVOKER, ENIGMA, LION, DROW RANGER, SNIPER, MAGNUS, ANTI-MAGE, KUNKKA, LICH
TINY, STORM SPIRIT, CRYSTAL MAIDEN, RIKI, URSA, BRISTLEBACK, JUGGERNAUT, BLOODSEEKER, BREWMASTER, FACELESS VOID
ALCHEMIST, EARTH SPIRIT, SVEN, PUDGE, RUBICK, MORPHLING, NECROPHOS, INVOKER, KEEPER OF THE LIGHT, WRAITH KING
BRISTLEBACK, ANTI-MAGE, VENOMANCER, PUDGE, MAGNUS, NECROPHOS, LICH, MIRANA, URSA, INVOKERAXE, WINDRANGER, DAZZLE, SNIPER, HUSKAR, PHANTOM ASSASSIN, LEGION COMMANDER, TERRORBLADE, VENOMANCER, NECROPHOS
FACELESS VOID, TROLL WARLORD, BLOODSEEKER, SNIPER, CLINKZ, MIRANA, JAKIRO, SHADOW FIEND, LEGION COMMANDER, SLARK
PHANTOM ASSASSIN, SPIRIT BREAKER, CRYSTAL MAIDEN, TEMPLAR ASSASSIN, EARTHSHAKER, NECROPHOS, PHOENIX, STORM SPIRIT, SAND KING, SVEN
VENOMANCER, CENTAUR WARRUNNER, PHANTOM ASSASSIN, NATURES PROPHET, OUTWORLD DEVOURER, LEGION COMMANDER, INVOKER, RUBICK, JUGGERNAUT, NIGHT STALKER
KUNKKA, WEAVER, DEATH PROPHET, SHADOW DEMON, WRAITH KING, DOOM, PUDGE, TECHIES, INVOKER, ENCHANTRESS
AXE, RUBICK, SHADOW SHAMAN, ANTI-MAGE, PUDGE, CLOCKWERK, KUNKKA, PHANTOM ASSASSIN, LION, BEASTMASTER
LICH, URSA, DRAGON KNIGHT, DISRUPTOR, SLARDAR, PHANTOM ASSASSIN, TIDEHUNTER, SHADOW SHAMAN, TINY, RAZOR
CENTAUR WARRUNNER, DROW RANGER, INVOKER, JAKIRO, NECROPHOS, LIFESTEALER, CRYSTAL MAIDEN, BRISTLEBACK, MORPHLING, RAZOR
CHAOS KNIGHT, AXE, TEMPLAR ASSASSIN, ANCIENT APPARITION, VENOMANCER, MAGNUS, EARTHSHAKER, SVEN, INVOKER, LION
INVOKER, SNIPER, JUGGERNAUT, RUBICK, MIRANA, NATURES PROPHET, VENOMANCER, FACELESS VOID, DEATH PROPHET, BOUNTY HUNTER
RIKI, PHANTOM ASSASSIN, OUTWORLD DEVOURER, LION, MIRANA, WRAITH KING, BOUNTY HUNTER, QUEEN OF PAIN, BLOODSEEKER, TIMBERSAW
LEGION COMMANDER, ZEUS, WINDRANGER, VIPER, CRYSTAL MAIDEN, TREANT PROTECTOR, RIKI, SNIPER, PUDGE, STORM SPIRIT
SPECTRE, PUGNA, INVOKER, SPIRIT BREAKER, TINY, SAND KING, WINDRANGER, WRAITH KING, MIRANA, SVEN
ZEUS, CHAOS KNIGHT, SLARDAR, CRYSTAL MAIDEN, SVEN, SLARK, SPIRIT BREAKER, MIRANA, WINTER WYVERN, PUDGE
MEDUSA, MIRANA, VIPER, VENGEFUL SPIRIT, CENTAUR WARRUNNER, KEEPER OF THE LIGHT, LIFESTEALER, RIKI, PUDGE, TEMPLAR ASSASSIN
INVOKER, ENIGMA, SLARK, LINA, AXE, MAGNUS, PUCK, TIMBERSAW, JAKIRO, PHANTOM ASSASSIN
FACELESS VOID,PUDGE,PHANTOM ASSASSIN,VENGEFUL SPIRIT,WINDRANGER,LEGION COMMANDER,MONKEY KING,NECROPHOS,OMNIKNIGHT,STORM SPIRIT
DROW RANGER,INVOKER,VENGEFUL SPIRIT,PUGNA,VENOMANCER,FACELESS VOID,EARTHSHAKER,TINY,LONE DRUID,SKYWRATH MAGE
SKYWRATH MAGE,WINDRANGER,EARTH SPIRIT,SHADOW SHAMAN,WRAITH KING,BREWMASTER,BLOODSEEKER,ARC WARDEN,PHANTOM LANCER,WINTER WYVERN
TEMPLAR ASSASSIN,UNDYING,PHANTOM LANCER,BROODMOTHER,BLOODSEEKER,PUDGE,VENGEFUL SPIRIT,FACELESS VOID,DISRUPTOR,SHADOW FIEND
INVOKER,SPIRIT BREAKER,NECROPHOS,PHOENIX,ANCIENT APPARITION,SNIPER,SLARDAR,TIMBERSAW,JUGGERNAUT,RUBICK
SPIRIT BREAKER,RIKI,NECROPHOS,PHANTOM LANCER,DOOM,LION,PUDGE,MONKEY KING,SHADOW FIEND
VENOMANCER,LYCAN,FACELESS VOID,PUDGE,TROLL WARLORD,KUNKKA,CLINKZ,BLOODSEEKER,NIGHT STALKER,TEMPLAR ASSASSIN
CRYSTAL MAIDEN,BLOODSEEKER,DOOM,SILENCER,ANCIENT APPARITION,ABADDON,SLARK,OMNIKNIGHT,STORM SPIRIT,EARTH SPIRIT
SLARK,DROW RANGER,MORPHLING,SILENCER,URSA,TINKER,ENCHANTRESS,MEDUSA,LYCAN,ALCHEMIST
NYX ASSASSIN,LINA,SPIRIT BREAKER,RIKI,DRAGON KNIGHT,NECROPHOS,SNIPER,AXE,MEDUSA,JAKIRO
TINKER,SLARK,NECROPHOS,VIPER,LION,ANTI-MAGE,MONKEY KING,NYX ASSASSIN,KUNKKA,QUEEN OF PAIN
CLOCKWERK,SLARK,ANTI-MAGE,TROLL WARLORD,RIKI,TIMBERSAW,SNIPER,RAZOR,BLOODSEEKER,SKYWRATH MAGE
PUGNA,JAKIRO,DROW RANGER,SHADOW SHAMAN,IO,CHEN,OGRE MAGI,WITCH DOCTOR,CRYSTAL MAIDEN
MORPHLING,BOUNTY HUNTER,SHADOW FIEND,ENIGMA,JAKIRO,BLOODSEEKER,BRISTLEBACK,PUCK,RUBICK,RIKI
TUSK,CHAOS KNIGHT,SHADOW FIEND,TINKER,AXE,BROODMOTHER,MIRANA,SHADOW SHAMAN,ANTI-MAGE,BLOODSEEKER
INVOKER,LEGION COMMANDER,ZEUS,NAGA SIREN,SHADOW SHAMAN,CRYSTAL MAIDEN,SVEN,MONKEY KING,QUEEN OF PAIN,PUDGE
BLOODSEEKER,DOOM,ENCHANTRESS,JAKIRO,MEEPO,SHADOW SHAMAN,SHADOW FIEND,TREANT PROTECTOR,JUGGERNAUT,ANTI-MAGE
RAZOR,TERRORBLADE,BLOODSEEKER,LION,DISRUPTOR,LESHRAC,PHANTOM LANCER,EMBER SPIRIT,OMNIKNIGHT,FACELESS VOID
SNIPER,FACELESS VOID,SPIRIT BREAKER,ELDER TITAN,CRYSTAL MAIDEN,ARC WARDEN,PUDGE,LICH,TROLL WARLORD,RUBICK
MEEPO,WRAITH KING,CRYSTAL MAIDEN,SPECTRE,PUDGE,KUNKKA,EARTHSHAKER,HUSKAR,INVOKER,MIRANA
CHAOS KNIGHT,LONE DRUID,LION,QUEEN OF PAIN,EMBER SPIRIT,DISRUPTOR,NECROPHOS,UNDYING,ANTI-MAGE,ABADDON
CHAOS KNIGHT,LION,PUGNA,KUNKKA,BROODMOTHER,OUTWORLD DEVOURER,NECROPHOS,KEEPER OF THE LIGHT,QUEEN OF PAIN,NIGHT STALKER
NYX ASSASSIN,JUGGERNAUT,PHANTOM ASSASSIN,TROLL WARLORD,SILENCER,MONKEY KING,TINKER,SKYWRATH MAGE,FACELESS VOID,BOUNTY HUNTER
BLOODSEEKER,SNIPER,RIKI,VIPER,ABADDON,NECROPHOS,JUGGERNAUT,AXE,TIDEHUNTER,PUDGE
TREANT PROTECTOR,ALCHEMIST,OMNIKNIGHT,WRAITH KING,FACELESS VOID,PUDGE,ELDER TITAN,SILENCER,NECROPHOS
SAND KING,TEMPLAR ASSASSIN,WARLOCK,JUGGERNAUT,EARTHSHAKER,DOOM,MONKEY KING,LION,SVEN,INVOKER
LEGION COMMANDER,PUDGE,PHANTOM ASSASSIN,BOUNTY HUNTER,ANTI-MAGE,MEEPO,SHADOW SHAMAN,TIDEHUNTER,INVOKER,WEAVER
SHADOW FIEND,AXE,LEGION COMMANDER,EARTHSHAKER,ANTI-MAGE,TECHIES,MONKEY KING,ALCHEMIST,PHANTOM ASSASSIN,OMNIKNIGHT
WRAITH KING,STORM SPIRIT,JUGGERNAUT,SLARDAR,PHANTOM ASSASSIN,LINA,ANTI-MAGE,ANCIENT APPARITION,LEGION COMMANDER,PUDGE
BLOODSEEKER,LION,HUSKAR,PHANTOM ASSASSIN,ZEUS,NECROPHOS,VENOMANCER,JUGGERNAUT,RIKI,SLARDAR
OGRE MAGI,EMBER SPIRIT,LEGION COMMANDER,MORPHLING,PHANTOM LANCER,BRISTLEBACK,LICH,ABADDON,TEMPLAR ASSASSIN,BLOODSEEKER
EARTH SPIRIT,BLOODSEEKER,BRISTLEBACK,INVOKER,SNIPER,SPIRIT BREAKER,SPECTRE,NECROPHOS,MIRANA
HUSKAR,RUBICK,DAZZLE,CENTAUR WARRUNNER,MONKEY KING,QUEEN OF PAIN,FACELESS VOID,PHANTOM ASSASSIN,MAGNUS,VISAGE
CENTAUR WARRUNNER,ANTI-MAGE,TUSK,BRISTLEBACK,BANE,SHADOW FIEND,CRYSTAL MAIDEN,CHEN,MIRANA,WRAITH KING
ANTI-MAGE,PUDGE,OGRE MAGI,WEAVER,JUGGERNAUT,NECROPHOS,VENOMANCER,SPIRIT BREAKER,STORM SPIRIT,WRAITH KING
PUDGE,MONKEY KING,CHAOS KNIGHT,SHADOW FIEND,RUBICK,ANTI-MAGE,NECROPHOS,VISAGE,CRYSTAL MAIDEN,VIPER
INVOKER,SNIPER,PUDGE,TUSK,SPECTRE,ANTI-MAGE,KEEPER OF THE LIGHT,NECROPHOS,SAND KING,CHEN
PUCK,EARTHSHAKER,PHANTOM ASSASSIN,RUBICK,WEAVER,WINDRANGER,VISAGE,FACELESS VOID,SKYWRATH MAGE,PUDGE
DARK SEER,CLINKZ,FACELESS VOID,SVEN,TINY,DISRUPTOR,SAND KING,LINA,WINDRANGER,JAKIRO
LESHRAC,PUCK,LUNA,SAND KING,EARTH SPIRIT,EMBER SPIRIT,TERRORBLADE,WEAVER,OMNIKNIGHT,NECROPHOS
NYX ASSASSIN,TEMPLAR ASSASSIN,ANTI-MAGE,LEGION COMMANDER,EARTHSHAKER,PUGNA,JUGGERNAUT,SNIPER,WITCH DOCTOR,DISRUPTOR
PUCK,MAGNUS,SVEN,WINDRANGER,WITCH DOCTOR,MONKEY KING,PUDGE,CENTAUR WARRUNNER,HUSKAR,CRYSTAL MAIDEN
MIRANA,PHANTOM ASSASSIN,WINDRANGER,SLARDAR,DISRUPTOR,TROLL WARLORD,EARTHSHAKER,VENOMANCER,ENCHANTRESS,TINKER
AXE,EARTHSHAKER,CHEN,SLARK,QUEEN OF PAIN,PHANTOM ASSASSIN,LEGION COMMANDER,MONKEY KING,PUGNA,RUBICK
FACELESS VOID,MEDUSA,ENCHANTRESS,PUDGE,JAKIRO,WRAITH KING,SHADOW FIEND,WARLOCK,EARTHSHAKER,QUEEN OF PAIN
PUDGE,AXE,RUBICK,JUGGERNAUT,SNIPER,SHADOW SHAMAN,MONKEY KING,TIMBERSAW,CLOCKWERK,JAKIRO
SNIPER,PUDGE,WINDRANGER,MONKEY KING,MIRANA,PUCK,CENTAUR WARRUNNER,WARLOCK,BLOODSEEKER,LINA
WINTER WYVERN,JUGGERNAUT,TEMPLAR ASSASSIN,WRAITH KING,PUDGE,SHADOW FIEND,LIFESTEALER,SPECTRE,WITCH DOCTOR,SILENCER
DROW RANGER,EARTH SPIRIT,LEGION COMMANDER,BEASTMASTER,ABADDON,EMBER SPIRIT,MAGNUS,QUEEN OF PAIN,EARTHSHAKER,CLOCKWERK
UNDERLORD,SHADOW SHAMAN,SVEN,AXE,PUGNA,TERRORBLADE,TUSK,PUDGE,CRYSTAL MAIDEN,LINA
WINDRANGER,MIRANA,WRAITH KING,TECHIES,DROW RANGER,CHAOS KNIGHT,BLOODSEEKER,STORM SPIRIT,LESHRAC,LINA
DISRUPTOR,KUNKKA,TUSK,URSA,PUGNA,WARLOCK,ANTI-MAGE,BROODMOTHER,PUDGE,WINDRANGER
MORPHLING,URSA,MIRANA,DROW RANGER,DOOM,ARC WARDEN,SPECTRE,LINA,SPIRIT BREAKER
TROLL WARLORD,GYROCOPTER,MIRANA,AXE,TECHIES,QUEEN OF PAIN,EMBER SPIRIT,RAZOR,NYX ASSASSIN,CLINKZ
NYX ASSASSIN,URSA,VIPER,PHANTOM ASSASSIN,CHEN,WEAVER,MEDUSA,DOOM,WINDRANGER,BOUNTY HUNTER
SLARK,BLOODSEEKER,MIRANA,SHADOW SHAMAN,UNDERLORD,WRAITH KING,WEAVER,PUDGE,SHADOW FIEND,BOUNTY HUNTER
ELDER TITAN,TROLL WARLORD,AXE,INVOKER,MAGNUS,MEEPO,TIDEHUNTER,EARTHSHAKER,SILENCER,NYX ASSASSIN
BLOODSEEKER,TROLL WARLORD,TIMBERSAW,QUEEN OF PAIN,FACELESS VOID,DISRUPTOR,CLINKZ,WINDRANGER,BOUNTY HUNTER
PHANTOM ASSASSIN,SPIRIT BREAKER,MIRANA,PUDGE,SPECTRE,SAND KING,JUGGERNAUT,KEEPER OF THE LIGHT,INVOKER,LEGION COMMANDER
TIDEHUNTER,LUNA,SLARDAR,VIPER,WINDRANGER,SPIRIT BREAKER,NYX ASSASSIN,OMNIKNIGHT,STORM SPIRIT,PHANTOM ASSASSIN
LICH,PUDGE,LIFESTEALER,BOUNTY HUNTER,DEATH PROPHET,SPIRIT BREAKER,LEGION COMMANDER,MONKEY KING,CLOCKWERK,NECROPHOS
CLOCKWERK,MIRANA,PHANTOM ASSASSIN,ZEUS,RUBICK,PUDGE,DAZZLE,EARTHSHAKER,HUSKAR,LUNA
ENIGMA,ABADDON,MORPHLING,URSA,MAGNUS,OGRE MAGI,SLARK,RIKI,EARTHSHAKER,VENOMANCER
LIFESTEALER,UNDYING,WITCH DOCTOR,DROW RANGER,NYX ASSASSIN,TROLL WARLORD,LYCAN,PHOENIX,SKYWRATH MAGE,PHANTOM LANCER
DAZZLE,MORPHLING,TINKER,TIDEHUNTER,ANCIENT APPARITION,VENOMANCER,EARTHSHAKER,ALCHEMIST,PUGNA,JUGGERNAUT
SPECTRE,LESHRAC,DOOM,EARTHSHAKER,UNDYING,VENGEFUL SPIRIT,TUSK,ORACLE,DEATH PROPHET,SAND KING
EMBER SPIRIT,EARTHSHAKER,VIPER,PUDGE,SNIPER,ANCIENT APPARITION,FACELESS VOID,MIRANA,HUSKAR,VENOMANCER
NECROPHOS,CRYSTAL MAIDEN,ANTI-MAGE,ENIGMA,SHADOW SHAMAN,DRAGON KNIGHT,HUSKAR,KEEPER OF THE LIGHT,VENGEFUL SPIRIT
RIKI,LION,URSA,TIDEHUNTER,TINKER,ANCIENT APPARITION,NYX ASSASSIN,LESHRAC,FACELESS VOID,KUNKKA
WINDRANGER,MEEPO,RIKI,ANTI-MAGE,PUDGE,QUEEN OF PAIN,DROW RANGER,KEEPER OF THE LIGHT,DOOM,SPIRIT BREAKER
BLOODSEEKER,VENOMANCER,PHANTOM LANCER,VENGEFUL SPIRIT,LEGION COMMANDER,SHADOW FIEND,MONKEY KING,URSA,NIGHT STALKER,SKYWRATH MAGE
BATRIDER,OMNIKNIGHT,PUDGE,PHANTOM ASSASSIN,ALCHEMIST,DROW RANGER,MIRANA,JUGGERNAUT,DOOM,TROLL WARLORD
DROW RANGER,PUDGE,SNIPER,RUBICK,PHANTOM ASSASSIN,MIRANA,AXE,LEGION COMMANDER,ANTI-MAGE,DAZZLE
DOOM,WINTER WYVERN,SNIPER,DROW RANGER,PHANTOM ASSASSIN,CHAOS KNIGHT,NAGA SIREN,OMNIKNIGHT,SHADOW FIEND,RIKI
NECROPHOS,SNIPER,CENTAUR WARRUNNER,JUGGERNAUT,OGRE MAGI,EARTH SPIRIT,MIRANA,INVOKER,PUDGE,PHANTOM LANCER
NYX ASSASSIN,LINA,JUGGERNAUT,EARTHSHAKER,PHANTOM ASSASSIN,SAND KING,PUDGE,WRAITH KING,SHADOW FIEND
TINY,ZEUS,RAZOR,NYX ASSASSIN,EARTHSHAKER,PHANTOM ASSASSIN,CRYSTAL MAIDEN,FACELESS VOID,INVOKER
ENIGMA,BOUNTY HUNTER,WEAVER,EARTHSHAKER,RAZOR,OUTWORLD DEVOURER,LION,UNDYING,BLOODSEEKER,JUGGERNAUT
AXE,LINA,BLOODSEEKER,VIPER,PUDGE,ALCHEMIST,MONKEY KING,SPIRIT BREAKER,SVEN
VENOMANCER,SHADOW FIEND,ENCHANTRESS,VENGEFUL SPIRIT,TERRORBLADE,PHANTOM ASSASSIN,INVOKER,LION,LESHRAC,BLOODSEEKER
TERRORBLADE,ANCIENT APPARITION,ENIGMA,OMNIKNIGHT,DRAGON KNIGHT,EMBER SPIRIT,BRISTLEBACK,VENOMANCER,PHANTOM ASSASSIN,SHADOW SHAMAN
PUDGE,INVOKER,LEGION COMMANDER,SPECTRE,SKYWRATH MAGE,ABADDON,PHANTOM ASSASSIN,EARTHSHAKER,PHANTOM LANCER
PHANTOM ASSASSIN,STORM SPIRIT,TREANT PROTECTOR,MIRANA,RUBICK,URSA,SKYWRATH MAGE,LION,BREWMASTER,TEMPLAR ASSASSIN
SLARK,UNDYING,ANCIENT APPARITION,WRAITH KING,DROW RANGER,PUDGE,MEEPO,SPIRIT BREAKER,CRYSTAL MAIDEN
WINDRANGER,EMBER SPIRIT,SPIRIT BREAKER,TROLL WARLORD,SHADOW SHAMAN,MONKEY KING,CLOCKWERK,NECROPHOS,ANCIENT APPARITION,DARK SEER
LUNA,MIRANA,SKYWRATH MAGE,URSA,EARTHSHAKER,BOUNTY HUNTER,PUDGE,JAKIRO,SLARK,BLOODSEEKER
VENOMANCER,NECROPHOS,RIKI,NYX ASSASSIN,KEEPER OF THE LIGHT,OMNIKNIGHT,ABADDON,INVOKER,CHAOS KNIGHT,DOOM
SHADOW FIEND,EARTHSHAKER,MIRANA,MEDUSA,SNIPER,VENOMANCER,KEEPER OF THE LIGHT,MONKEY KING,SLARDAR
SILENCER,LEGION COMMANDER,URSA,OUTWORLD DEVOURER,SLARDAR,INVOKER,PHANTOM ASSASSIN,NYX ASSASSIN,WARLOCK,AXE
VIPER,SPECTRE,LINA,TUSK,KEEPER OF THE LIGHT,SHADOW FIEND,OGRE MAGI,KUNKKA,PUDGE,MORPHLING
CLINKZ,PUDGE,NYX ASSASSIN,VENOMANCER,VENGEFUL SPIRIT,ALCHEMIST,ORACLE,TERRORBLADE,PHOENIX,NIGHT STALKER
WEAVER,OUTWORLD DEVOURER,ANTI-MAGE,NYX ASSASSIN,BRISTLEBACK,PHANTOM ASSASSIN,LICH,SHADOW FIEND,SHADOW SHAMAN
SLARDAR,TIDEHUNTER,MONKEY KING,JUGGERNAUT,TUSK,SLARK,LESHRAC,KEEPER OF THE LIGHT,MIRANA
RAZOR,TINY,BLOODSEEKER,MONKEY KING,SPECTRE,OUTWORLD DEVOURER,RUBICK,UNDYING,PHANTOM ASSASSIN,LEGION COMMANDER
WINDRANGER,LINA,BLOODSEEKER,SHADOW SHAMAN,JUGGERNAUT,PHANTOM LANCER,LESHRAC,TINY,WINTER WYVERN,VIPER
PUDGE,CRYSTAL MAIDEN,LINA,WRAITH KING,BRISTLEBACK,PUGNA,WINDRANGER,TUSK,SVEN,ANTI-MAGE
PUDGE,WITCH DOCTOR,MONKEY KING,INVOKER,ALCHEMIST,JUGGERNAUT,TEMPLAR ASSASSIN,SLARDAR,OUTWORLD DEVOURER,NECROPHOS
PHANTOM ASSASSIN,ANTI-MAGE,JAKIRO,EARTHSHAKER,DRAGON KNIGHT,MONKEY KING,NECROPHOS,QUEEN OF PAIN,TROLL WARLORD,SLARDAR
CENTAUR WARRUNNER,BATRIDER,BLOODSEEKER,ELDER TITAN,ZEUS,NECROPHOS,PHANTOM ASSASSIN,ENCHANTRESS,SHADOW SHAMAN,SPIRIT BREAKER
UNDERLORD,MONKEY KING,DRAGON KNIGHT,MIRANA,SILENCER,NECROPHOS,PUDGE,SHADOW FIEND,ENIGMA,LUNA
